filename,language,domain,original_split,split
fm_hi_000297_1.png,hindi,forms,val,train
qp_hi_000137_0.png,hindi,question_paper,train,train
ar_en_001157.png,english,acts_rules,train,train
fm_mr_000569_1.png,marathi,forms,test,train
ar_hi_000095_0.png,hindi,acts_rules,train,train
ar_mr_000007_0.png,marathi,acts_rules,train,train
qp_hi_000826_0.png,hindi,question_paper,train,train
ar_en_000492.png,english,acts_rules,train,train
qp_hi_000838_0.png,hindi,question_paper,val,train
nt_hi_000459_1.png,hindi,notice,train,train
qp_hi_000254_0.png,hindi,question_paper,test,train
qp_mr_000125_0.png,marathi,question_paper,train,train
ar_mr_000525_0.png,marathi,acts_rules,train,train
ar_en_000581.png,english,acts_rules,test,train
fm_hi_000687_1.png,hindi,forms,train,train
nt_hi_000523_1.png,hindi,notice,train,train
np_hi_000572_1.png,hindi,newspaper,train,train
fm_hi_000321_1.png,hindi,forms,train,train
nt_en_000501_1.png,english,notice,train,train
ar_mr_000813_1.png,marathi,acts_rules,val,train
nt_mr_000212.png,marathi,notice,train,train
qp_hi_000601_0.png,hindi,question_paper,test,train
nt_hi_000238_0.png,hindi,notice,train,train
fm_hi_000221_0.png,hindi,forms,train,train
np_mr_000138_1.png,marathi,newspaper,train,train
np_hi_000054_1.png,hindi,newspaper,train,train
qp_hi_000787_0.png,hindi,question_paper,train,train
nt_en_000122_1.png,english,notice,train,train
fm_mr_000509_1.png,marathi,forms,train,train
nt_mr_000274.png,marathi,notice,train,train
np_en_000548_1.png,english,newspaper,val,train
qp_mr_000363_1.png,marathi,question_paper,train,train
np_hi_000091_1.png,hindi,newspaper,val,train
fm_hi_000507_1.png,hindi,forms,train,train
qp_mr_000377_1.png,marathi,question_paper,train,train
fm_mr_000289_0.png,marathi,forms,train,train
np_mr_000145_1.png,marathi,newspaper,train,train
fm_mr_000354_0.png,marathi,forms,train,train
nt_hi_000122_0.png,hindi,notice,train,train
ar_mr_000192_0.png,marathi,acts_rules,val,train
ar_mr_000315_0.png,marathi,acts_rules,val,train
qp_hi_000091_0.png,hindi,question_paper,train,train
np_hi_000276_1.png,hindi,newspaper,train,train
ar_en_001322.png,english,acts_rules,train,train
ar_hi_000436_1.png,hindi,acts_rules,train,train
qp_hi_000635_0.png,hindi,question_paper,train,train
np_hi_000412_1.png,hindi,newspaper,train,train
qp_hi_000346_0.png,hindi,question_paper,train,train
nt_hi_000310_1.png,hindi,notice,val,train
np_en_000328_1.png,english,newspaper,train,train
nt_en_000433_1.png,english,notice,train,train
np_mr_000458_1.png,marathi,newspaper,train,train
ar_mr_000320_0.png,marathi,acts_rules,train,train
ar_mr_000790_1.png,marathi,acts_rules,train,train
fm_en_000011_0.png,english,forms,train,train
fm_en_000439_0.png,english,forms,val,train
fm_hi_000792_1.png,hindi,forms,val,train
ar_mr_000550_0.png,marathi,acts_rules,train,train
qp_mr_000490_1.png,marathi,question_paper,val,train
np_mr_000425_1.png,marathi,newspaper,train,train
ar_en_001190.png,english,acts_rules,train,train
fm_hi_000186_0.png,hindi,forms,train,train
ar_en_000770.png,english,acts_rules,val,train
nt_mr_000349.png,marathi,notice,test,train
ar_mr_001027_1.png,marathi,acts_rules,test,train
qp_mr_000555_1.png,marathi,question_paper,test,train
ar_hi_000520_1.png,hindi,acts_rules,train,train
ar_en_000453.png,english,acts_rules,train,train
np_hi_000013_1.png,hindi,newspaper,train,train
ar_mr_000029_0.png,marathi,acts_rules,train,train
